hnit	infinitive
crin	ការកោតសរសើរ
rwin	មហាក្សត្រី
hgut	រាប់ចំនួន
hdas	ការរាំ
hnot	សណ្ឋាគារ
hdin	បំពេញ
hton	អ្នកទោស
hdak	ហាង
hlet	ជណ្តើរ
hson	ការលើកលែងទោស
hgek	មនុស្សស្រឡាញ់ភេទដូចគ្នា
hras	ការបូមខ្សាច់
hsep	កញ្ញា
hbic	ប្រាសាទបុរាណ
hlen	អាជ្ញាប័ណ្ណ
hcon	គ្រប់គ្រាន់
hgit	សាក្សី
kfon	ផ្ទះបាយ
hbak	លក់
tlim	ការព្យាបាល
hsot	ល្បឿន
kyut	កុំព្យូទ័រ
hnen	អស់កល្បជានិច្ច
htek	បណ្ណាល័យ
hzan	មាន
hbis	មូលដ្ឋាន
hbun	ការយល់ច្រឡំ
kcus	ចុងភៅ
hgat	វាលខ្សាច់
hwus	ថើប
hbif	ទឹកកក
hbot	បាល់
hrut	អាគុយម៉ង់
hdit	អារម្មណ៍Benedict
hdis	មានកំហុស
hjan	ការផ្តន្ទាទោស
plis	ប៉ូលីសបាន
hgan	លាក់
hsen	បេសកកម្ម
nrin	ល្ងង់ខ្លៅ
hyen	ពពក
frif	កុម្ភៈ
hdik	ជំងឺ
hnek	ករណីផ្តួចផ្តើម
hbam	មីង
hmen	ដែលមានចិត្ដរាបទាប
hdip	ការចាំបាច់ពន្យាពេល
prat	ភ័ស្តុតាងដែលបានរាយការណ៍
hdet	កណ្តាលអធ្រាត្រ
hjit	ម្រាមដៃ
hmoc	កន្លែងណា
pran	កាសែត
kcec	តំបន់
hken	យឺតយ៉ាវ
hloc	ស្រងេះស្រងោច
hrak	បុគ្គលិក
htes	មើល
rwan	រង្វាន់
hdon	បរិច្ចាក
htot	ថ្ងាស
hnet	ទេវតា
hdun	ឯកវចនៈ
croc	កំហុស
hlon	ព្រឹកព្រលឹម
hyec	ចៀម
hjin	ការអត់ធ្មត់
hrec	យោង
mran	ពោត
htos	ភាគច្រើន
hcos	វិធានការ
hkoc	ម្តងម្កាល
hlif	ប្រាក់ចំណេញ
clak	ជាតិស្ករ
hjat	មនុស្សជាតិ
tram	ស៊ុម
hdic	ថាស
hkok	ឯកោ
srat	សិល្បករ
crak	ការទាក់ទាញ
hmet	អ៊ីម៉ែល
hden	ការសម្រេចចិត្ត
gran	អភិបាល
crac	សាខា
hjac	ភាពរីករាយ
hdim	អារម្មណ៍ដំបូង
hcok	ប្រញាប់
hyet	ប្រេង
pwap	បំពង់
trat	បោះពុម្ព
tcot	រូបធាតុរឹង
hdoc	អូ!
hren	បរិបទសុន្ទរកថា
tcon	ថ្ងៃត្រង់
krin	ផ្ទៃខាងក្នុងរថយន្ត
plam	សំឡេងរោទិ៍
hnes	ប្រសាទ
tcen	សង្កេត
hsek	ទិដ្ឋភាព
plik	អនុវត្ត
slik	សូត្រ
hfen	ភាគ
hgen	ភ្នាក់ងារ
hnon	សហជីព
crik	ស្ថាននរក
tcet	ជម្ងឺ
mrat	ការលាយបញ្ចូលគ្នា
hdam	អារម្មណ៍ការដាស់តឿន
hgac	មហិច្ឆតា
htoc	ដូចម្ដេច
hdac	ការប្រឹក្សា
nwin	រដ្ឋធម្មនុញ្ញ
srit	ឧបករណ៍
hret	យ៉ាងរឹងមាំ
nlin	លើបណ្តាញ
hzat	ជំនោរ
klic	មហាវិទ្យាល័យ
hkek	កន្ទុយ
nric	ជំនាន់
hgic	ហ្វូងមនុស្ស
hgak	ឆ្មា
trit	បង្ហាញភស្តុតាងដោយផ្ទាល់
tyot	សន្ធិសញ្ញា
hnok	មាតិកា
crit	បោះបង់ចោល
slen	សាវ័កដប់មួយរូប
srin	សភាវគតិ
hpok	កុលសម្ព័ន្ធ
hyot	អារម្មណ៍បារម្ភ
cric	ទីជម្រក
hruc	ឈ្លើយ
cwin	ជិះ
hzak	អ្រងួន
dyit	ឧស្សាហកម្ម
hpec	វិជ្ជាជីវៈមេធាវីជាវិជ្ជាជីវៈ
nras	គិនុប្ឋ
hcec	បង្រៀន
hbut	ស្បែកជើងមាន
hmec	មិនច្បាស់លាស់
twot	សកម្មភាព
crat	ថ្ងៃសៅរ៍
hkot	សមត្ថភាព
hnec	ពន្លឺថ្ង
hwuf	មេម៉ាយ
cren	ស្រក់
nrat	តារា
hget	ភ្ញៀវ
hbik	ប្រទានពរដល់
brin	ផ្នែកខាងក្នុង
hpot	ដែលអាចប្រើបាន
trac	ការតស៊ូ
prac	ទាញយក
hcoc	ប្រហោង
hpon	ខេត្ត
hwim	ស៊ីវិល័យ
dwan	ព្យួរ
cwok	ឆក់
hdok	ការបើកបរ
crun	ទ្រព្យសម្បត្តិ
hzik	គ្រាប់ពូជ
hrot	ថ្មីអតីតកាល
hket	ភ្ញាក់
hcek	គ្រឿងសង្ហារឹម
hrop	មិនទាន់មានច្បាប់ប្រឆាំង
mrac	ការផ្សងព្រេង
byit	ពិធីបុណ្យ
trak	ប្រចាំឆ្នាំរបស់
hzin	ភាគខាងត្បូង
sric	ពិធី
clik	ម៉ាញ់
trap	សេរី
hrim	គ្រីស្ទសាសនា
hrus	ព្រះនាង
blat	អាសនៈ
cyon	តូច
hwep	បណ្ដាញ
krat	ខា
tris	ស្វាយ
kcot	ប្រមូលផ្តុំ
hben	ការបោះឆ្នោត
trik	ស្រវឹង
kfit	ការលើក
tcec	ការផ្លាស់ប្តូរ
nrik	គុណនាមវិសេសច្បាស់លាស់
grat	អធិរាជ
dran	រដ្ឋបាល
hpen	កាលពីមុន
cluk	អាក្រក់
nrac	គ្មានការបង្កគ្រោះថ្នាក់
ryin	ការបណ្តុះបណ្តាល
hrun	រមៀល
nwic	អ៊ីញ
slit	បាញ់
gzat	កាសែត
krot	កាត់
drit	ពុកចង្ការ
hzis	ហែក
hdap	ដប់ប្រាំបី
sris	ប្រវត្តិសាស្រ្ត
mrut	សរុប
nyik	ភក់
bran	កូនក្រមុំ
drat	អាស្រ័យ
djan	យក្ស
glat	ភាពសាមញ្ញ
hpoc	រដូវស្លឹកឈើជ្រុះ
pras	ស្បៃមុខ
hgot	ការជួបជុំ
tret	ល្ខោន
tras	ប្រៀបធៀប
rwit	គូប្រជែង
hfon	បង្កើត
klot	គ្រូបង្វឹកក្រុម
hmum	កំប្លែង
drac	សុន្ទរកថា
rwas	ប្រលោមលោក
tset	សងសឹក
hdot	distalង្ហេញ
ryut	ច្រណែន
hwon	ការអញ្ជើញ
byat	ដុត
flac	ភ្លើងFlash
prot	បញ្ឈរ
crek	ផ្ដល់យោបល់
htok	ជម្លោះ
htop	ដាក់​​បណ្តាសា
prit	អារម្មណ៍imprecative
hces	អស់សង្ឃឹម
klup	ក្លិប
hnos	ទឹកជំនន់
dwin	ព្រងើយកណ្តើយ
prin	ផ្តេក
mrit	អារម្មណ៍ការសន្មត់
tcoc	ចោត
hcom	ភាពសុខដុម
grit	ផ្គរលាន់
tlot	កុមារភាព
hgik	ជង្គង់
hwes	សន្លប់
hzac	គ្នាទៅវិញទៅមក
hsec	ផ្នែកទន់
tson	ស្ថាប័ន
ryit	វិក័យប័ត្រ
dlin	វិន័យ
slip	ប័ណ្ណ
klon	បដិវត្ដន៍
hfim	កសិករ
hpom	វេទិកា
cyen	និស្សិត
hgec	រូងភ្នំ
hroc	ប្រពៃណី
srac	ដាក់
ryat	សោកនាដកម្ម
kcen	ស្ត្រីព្រហ្មចារី
hbap	លា
krik	ការរិះគន់
krap	កប្បាស
fwat	មន្ទីរពេទ្យ
kcet	ជួល
hgas	ឧស្ម័ន
pfin	ជៀសមិនរួច
dlit	ស្លឹក
ryan	ការបកប្រែ
sran	ពិធីបុណ្យ​សព
mrin	ម្សៅ
hram	រ៉ូមែនទិក
dlan	ប្រាក់ដុល្លារ
hzas	កំប្លែង
hsos	ដប់ប្រាំមួយ
klen	អាណានិគម
gyin	ស្លាប
hsif	សត្វតោ
cluc	ល្បិចកល
prip	ការត្រៀមរៀបចំ
hzut	អ័ព្ទ
dwat	ថ្នាំ
krit	ពិនិត្យមើលសំបុត្រ
sras	សំបុក
hses	ដប់បួន
brat	ការជំទាស់
flat	ទឹកអាស៊ីត
hjic	គឺ
slic	អាវុធ
hbuc	អ្នកប្រើ
tron	ទឹកក្រូច
byan	ងូតទឹក
hrif	បុព្វកាល
tlip	បង្កើត
blan	កញ្ចប់
kris	លេខាធិការ
hyon	ពេលតំណាលគ្នា
tren	ថ្ងៃនេះ
dlat	hodiernalតានតឹង
hzic	ថ្នាំពុល
tfic	កាំភ្លើង
tlen	ទេពកោសល្យ
hlim	អាកាសធាតុ
dyat	មិត្តរួម
kcon	វិវរណៈ
dlac	លាង
krak	ការសារភាព
hbas	មិនសមហេតុសមផល
hkec	ធ្យូងថ្ម
hrek	ស្តារ
hkos	ទូកកាណូ
hwif	អនុ
tric	ជាបណ្តោះអាសន្ន
hdep	ទិដ្ឋភាពសញ្ញាកំណត់ព្រំដែន
mwak	គំនរ
ksot	ឆ្អឹង
hnoc	ថ្ងៃចន្ទ
nlas	កាលពីថ្ងៃអង្គារ
brac	ថ្ងៃពុធ
frap	សហព័ន្ធ
pfit	តំណាង
pcoc	បង្គោល
lyen	ក្រណាត់ទេសឯក
swak	លិច
pcen	ប្រធាន
brit	បង្ហូរឈាម
hwec	ការឡោមព័ទ្ធ
