ni	məsdər
mlah	narahatlıq
syah	təbəssüm
slih	yuxu
zi	sitat
twoh	quotativeişi
mo	daxilşəxs
kcih	lütfən
rwih	precativeəhval
mrih	nəzakətliregister
rwah	perspektivliaspekt
cyeh	təəccüb
go	gnomicaspekt
tsoh	hörmət
za	inchoativeaspekt
jwih	jussiveəhval
mwih	liberaləhval
sloh	uğur
prih	xüsusi
de	paylayıcıişi
tcoh	ağrı
ryah	gülüş
mlih	ağıllı
ye	yiyəlikmarker
ke	commissiveəhval
creh	boş-boş
mweh	tamamlayıcıaspekt
nrah	isti
nroh	hirs
bwah	kin
trah	iftixar
mroh	mənəvi
slah	sağlamlıq
syih	sosial
pe	cessativeaspekt
krih	maraqlı
tfih	gücləndirici
fe	nəhayət
prah	kənara
trih	sübut
nwah	sübutişi
srih	kədərli
zo	zoicgender
nweh	Eventiveəhval
cwoh	Eynihadisəmarker
plih	multiplikativişi
dwah	istədiyiniz
kcoh	yorğun
drah	məmnun
lu	spekulyativəhval
frih	tanışregister
frah	yaralı
mruh	axmaq
djih	rəğbət
krah	təşəkküredirəm
cruh	ayıb
fyah	sözmarker
ryih	-birindənkəskin
kruh	acı
tyeh	mətn
kreh	qəddar
tleh	gərginhesternal
kfah	qurban
dyih	nifrət
cloh	səmərəligender
nloh	zövqalmaq
psah	ümidsizlik
sleh	bitkigender
nruh	günahsız
drih	heyranlıq
sroh	əfv
brih	baza
kluh	qarışıqlıq
bwih	benedictiveəhval
klih	müqəssir
grih	cahil
nyeh	təşəbbüsiddiası
nleh	məzlum
dlih	gecikmişvacib
proh	məlumatsübut
mloh	həzin
du	qəribə
jrih	səbir
freh	sened
kloh	tənha
kroh	cazibə
tcuh	həvəs
kcuh	induktivəhval
xa	ifadəsikontekstində
nreh	sinir
pseh	aspekt
ge	agent
mu	admonitiveəhval
byah	şöhrətbazlıq
pcoh	dolu
treh	birbaşasübut
yo	fərasətliəhval
cwuh	zərbə
tloh	gərginkeçmişSon
dlah	müəyyənməqalə
cluh	çirkin
myuh	yumor
dyah	nümayişkaranədistal
rwuh	qısqanc
troh	imprecativeəhval
dzih	laqeydlik
swuh	fərziəhval
bzah	zarafat
gwih	məhz
dloh	gərginhodiernal
dweh	delimitativeaspekt
kweh	eksklüzivşəxs
truh	temperatur
tfeh	Telicaspekt
lyeh	atelicaspekt
ru	qadağanediciəhval
kfih	uşaq
cyoh	şübhəli
nluh	sədaqət
cweh	tələ
nwoh	animasiya
sruh	əsmək
ksoh	cinsi
lyah	tənbəl
mreh	momentaneaspekt
pceh	təəssüf
bjih	ölənkeçmiş
pcuh	qeyri-müəyyənlik
xi	adiaspekt
blih	həmsərhəddir
tsuh	cüzi
fwih	əzəmətli
grah	yaltaq
brah	ixtiyari
cleh	xeyirxah
sreh	formalregister
pfah	faydalı
droh	eşitməsübut
flih	inferentialsübut
sweh	sublativeişi
ksuh	deklarativəhval
pleh	imtiyazlı
psoh	yenilməz
be	şifahi
mwoh	xəyalpərəstlik
kleh	miskinlik
glah	doymamazlıq
kseh	müsbətəhval
zrah	qeyri-məmnunluq
dyoh	Ideophone
syoh	awed
gwah	exessiveişi
zlih	irrealisəhval
zrih	həya
byih	uyğunlaşma
ryeh	əvəzlikmarker
fwah	sadə
bjah	ecstatic
kxah	soyuqqanlılıq
gvih	pegativeişi
pxih	vindication
xrah	qurtardıqdan
tfoh	bundanbelə
kxih	contortion
ryoh	prosecutiveişi
qyah	qayğı
r6	fe&#39;lisifət
txah	gərginuzaqkeçmiş
xrih	gərgintarixi
dxah	ikilisayı
syuh	super
vweh	overworked
n6	sensorsübutəhval
bweh	vəsvəsə
xlih	şən
txih	əzab
sluh	özünüməmnun
txoh	motiondağa
xe	keçmişəaid
pxah	kəməndəsalmaq
vwah	motionaşağı
xyih	elita
fleh	flektiv
psuh	superessiveişi
syeh	şəhvətpərəst
qi	təsirli
xruh	çömelmek
zwah	Heyrət!Vay
tr6h	motionUPRIVER
qwah	unambitious
xlah	dünyada
tyoh	təsirsiz
tluh	anticlimax
qa	CariAidiyyətmarker
kxoh	yorğunit
rwoh	sıra
ve	vektor
kyoh	kilo
swoh	ardıcıl
pxeh	parçayıbelirtenişi
txeh	augmentative
dxih	predikativ
pxoh	prolativeişi
pfoh	prosöz
blah	Blase
fyih	qeyriinsan
xo	aktyorrolu
pc6h	sınaqnömrəsi
greh	merkezliişi
groh	məqsəditrigger
dxoh	ortasəs
rweh	obliqueişi
xwah	xəstəhal
xu	prehodiernal
xroh	köhnəlir
ks6h	icbar
vi	ikilidəyər
dleh	modalişi
gjeh	başqa,əgər
xreh	coworker
lwoh	locativeişi
ml6h	multalsayı
gjih	galaxygender
qlah	stargender
bvih	abessiveişi
dvah	adessiveişi
je	agentiveişi
t6	agenttrigger
kxeh	halda
gxih	ümumigender
tc6h	sitatforması
ts6h	transsay
ryuh	vasitəsiztamamlıq
gveh	ergativeişi
pyoh	məçhulnöv
qe	məhdudverb
xwih	əsasobyekt
myoh	gnomicəhval
vrih	finalhissəcik
va	evitativeişi
bveh	subessiveişi
dxeh	sahibişi
dvih	lativeişi
tsa7h	antessiveişi
dyeh	adverbialişi
mleh	genderdiri
pfeh	empatheticsevinc
xleh	vasitəgender
qlih	mineralgender
xloh	fe&#39;liisim
dreh	ikincidil
bvah	özünəinam
qrah	Tədbirindəyişiklik
fo	müxtəlifhadisə
sl6h	gərgincrastinal
fyoh	qayıdışsəs
bxih	kainatgender
jlih	verb
kyeh	mövqeyindəgender
txuh	tədqiqatgender
s6	bədiigender
preh	xəstətrigger
sr6h	mücərrədgender
nyoh	vasitəlinitq
zreh	exocentricişi
kfeh	keçmişmükəmməl
jo	şəxssizverb
kxuh	kollektivisim
bu	absolutiveişi
qrih	planetargender
kfoh	corebenefactive
kwoh	assosiativişi
pluh	üstünlükhalda
jrah	elektrikcərəyanına
glih	cansızgender
p6	propositiveəhval
vrah	qarşılıqlısəs
lyuh	ardıcılbənddə
gleh	gərgintezlikləgələcək
lyoh	Tətbiqisəs
ps6h	antipassivesəs
tfuh	continutiveaspekt
nr6h	necessitativeəhval
pr6h	passivfeli
sy6h	existentialbənddə
qyih	parlaqintensivliyi
gluh	singulativesayı
kwuh	həddindənartıqmüddəti
xyah	vahidfəaliyyətverb
vlih	üstünlükdərəcəsi
djah	indikifeli
m6	maddəmiqdarı
ti7	birləşdiricihissəcik
f6	epentheticmorfem
tli7h	uzaqgələcəkgərgin
si_	postpositionalişi
l6	allocutivemüqavilə
k6	tekrarlamaaspekt
bzih	paylayıcıəvəzlik
tu7	üzənpointsayı
vo	verbşəkilçi
ki7	keçmişpassivfeli
ta_	locativeyönişi
