ni	bezokolicznik
creh	próżny
mweh	dopełniającyaspekt
nrah	ciepło
nroh	gniew
bwah	złość
trah	duma
mroh	morał
slah	zdrowie
syih	społeczny
pe	zaprzestanieaspekt
krih	ciekawy
tfih	wzmacniacz
fe	wreszcie
prah	nabok
trih	dowodowy
nwah	dowodowysprawa
srih	smutny
zo	zoicpłeć
nweh	eventivehumor
cwoh	takiesamezdarzenieznacznik
plih	mnożnysprawa
dwah	pożądany
kcoh	zmęczony
drah	zadowolona
lu	spekulacyjnyhumor
frih	znajomyzarejestrować
frah	ranny
mruh	oszukać
djih	współczucie
krah	podziękować
cruh	wstyd
fyah	wyrażenieznacznik
ryih	zgóryprzesądzone
kruh	gorzki
tyeh	tekst
kreh	okrutny
tleh	hesternalczas
kfah	ofiara
dyih	nienawidzić
cloh	racjonalnypłeć
nloh	cieszyćsię
psah	rozpacz
sleh	roślinnypłeć
nruh	niewinny
drih	podziw
sroh	pardon
brih	opierać
kluh	zamieszanie
bwih	błogosławieństwohumor
klih	winny
grih	nieświadomy
nyeh	inicjatywasprawa
nleh	pokorny
dlih	opóźnionytrybrozkazujący
proh	Podawanedowodowy
mloh	melancholia
du	pojedynczy
jrih	cierpliwość
freh	referencyjny
kloh	samotny
kroh	urok
tcuh	entuzjazm
kcuh	indukcyjnyhumor
xa	rozprawiaćkontekst
nreh	nerwowy
pseh	aspekt
ge	agent
mu	napomnieniehumor
byah	ambicja
pcoh	zatłoczony
treh	bezpośrednidowodowy
yo	lękliwyhumor
cwuh	zaszokować
tloh	niedawnyprzeszłośćczas
dlah	konkretnyartykuł
cluh	brzydki
myuh	humor
dyah	dystalnejwskazujący
rwuh	zazdrosny
troh	imprecatoryhumor
dzih	obojętność
swuh	zarozumiałyhumor
bzah	żart
gwih	mianowicie
dloh	hodiernalczas
dweh	delimitativeaspekt
kweh	Ekskluzywnyosoba
truh	temperatura
tfeh	TELICaspekt
lyeh	atelicaspekt
ru	prohibicyjnyhumor
kfih	dziecinny
cyoh	podejrzany
nluh	lojalność
cweh	pułapka
nwoh	ożywiony
sruh	dreszczyk
ksoh	seksualny
lyah	leniwy
mreh	momentaneaspekt
pceh	pożałował
bjih	byłyzmarły
pcuh	niepewność
xi	zwykłyaspekt
blih	zobowiązany
tsuh	trywialny
fwih	majestatyczny
grah	pochlebny
brah	arbitralny
cleh	życzliwy
sreh	formalnyzarejestrować
pfah	korzystny
droh	słuchowydowodowy
flih	inferentialdowodowy
sweh	sublativesprawa
ksuh	deklaracyjnyhumor
pleh	uprzywilejowany
psoh	niezwyciężony
be	słowny
mwoh	zaduma
kleh	nikczemność
glah	chciwość
kseh	twierdzącyhumor
zrah	niezadowolenie
dyoh	idiofony
syoh	onieśmielony
gwah	nadmiernysprawa
zlih	irrealishumor
zrih	nieśmiałość
byih	dostosowanie
ryeh	zaimekznacznik
fwah	oszczędny
bjah	ekstatyczny
kxah	spokójumysłu
gvih	pegativesprawa
pxih	windykacja
xrah	wygasające
tfoh	odtąd
kxih	skrucha
ryoh	prosecutivesprawa
qyah	zaabsorbowanie
r6	imiesłów
txah	zdalnyprzeszłośćczas
xrih	historycznyczas
dxah	podwójnynumer
syuh	Wspaniały
vweh	przepracowany
n6	sensorycznydowodowyhumor
bweh	obsesja
xlih	wesoły
txih	ukłucie
sluh	siebiezadowolony
txoh	ruchpodgórkę
xe	zmocąwsteczną
pxah	usidlić
vwah	ruchspadek
xyih	elita
fleh	fleksyjny
psuh	superessivesprawa
syeh	satyr
qi	przechodni
xruh	czołgaćsię
zwah	łał
tr6h	ruchupriver
qwah	ambicji
xlah	nacalymswiecie
tyoh	nieprzechodni
tluh	rozczarowanie
qa	obecnyZnaczenie,związekztematemznacznik
kxoh	pieszmęczony
rwoh	porządkowy
ve	wektor
kyoh	kilogram
swoh	ciągły
pxeh	cząstkowysprawa
txeh	augmentatywny
dxih	predykatywny
pxoh	prolativesprawa
pfoh	zawodowiecwyrażenie
blah	zblazowany
fyih	nieczłowiek
xo	aktorrola
pc6h	próbanumer
greh	centrycznysprawa
groh	celcyngiel
dxoh	środkowygłos
rweh	ukośnysprawa
xwah	cierpliwysprawa
xu	prehodiernal
xroh	ścieraniesię
ks6h	przyczynowy
vi	Wartośćbinarna
dleh	modalnysprawa
gjeh	else-if
xreh	współpracownik
lwoh	miejscowniksprawa
ml6h	multalnumer
gjih	galaktykapłeć
qlah	gwiazdapłeć
bvih	abessivesprawa
dvah	adessivesprawa
je	agentivesprawa
t6	agentcyngiel
kxeh	dosprawa
gxih	wspólnypłeć
tc6h	cytatformularz
ts6h	transliczbowy
ryuh	bezpośredniobiekt
gveh	ergativesprawa
pyoh	pasywnygłos
qe	skończoneczasownik
xwih	Podstawowaobiekt
myoh	gnomicznyhumor
vrih	finałcząstka
va	evitativesprawa
bveh	subessivesprawa
dxeh	opętanysprawa
dvih	lativesprawa
tsa7h	antessivesprawa
dyeh	przysłówkowysprawa
mleh	animowaćpłeć
pfeh	empatycznyradość
xleh	pojazdpłeć
qlih	minerałpłeć
xloh	werbalnyrzeczownik
dreh	Sekundajęzyk
bvah	samegosiebiepewnośćsiebie
qrah	zmianazzdarzenie
fo	różnezdarzenie
sl6h	crastinalczas
fyoh	zwrotnygłos
bxih	wszechświatpłeć
jlih	przechodniczasownik
kyeh	miejscowośćpłeć
txuh	Badaniapłeć
s6	artystycznypłeć
preh	cierpliwycyngiel
sr6h	abstrakcyjnypłeć
nyoh	pośredniprzemówienie
zreh	exocentricsprawa
kfeh	przeszłośćperfektywny
jo	bezosobowyczasownik
kxuh	kolektywrzeczownik
bu	absolutivesprawa
qrih	planetarnypłeć
kfoh	rdzeńbenefactive
kwoh	asocjacyjnysprawa
pluh	superlatywsprawa
jrah	elektrycznyaktualny
glih	nieożywionypłeć
p6	propositivehumor
vrah	odwrotnośćgłos
lyuh	kolejnyklauzula
gleh	wkrótceprzyszłośćczas
lyoh	aplikacyjnychgłos
ps6h	antipassivegłos
tfuh	continuativeaspekt
nr6h	necessitativehumor
pr6h	pasywnyimiesłów
sy6h	egzystencjalnyklauzula
qyih	świetlnyintensywność
gluh	singulativenumer
kwuh	nadmiernytrwanie
xyah	pojedynczyczynnośćczasownik
vlih	superlatywstopień
djah	obecnyimiesłów
m6	ilośćzsubstancja
ti7	łączącycząstka
f6	epentetycznymorfem
tli7h	zdalnyprzyszłośćczas
si_	postpositionalsprawa
l6	przemówienieumowa
k6	częstotliwyaspekt
bzih	dystrybucyjnyzaimek
tu7	zmiennoprzecinkowąnumer
vo	czasownik-przyrostek
ki7	przeszłośćpasywnyimiesłów
ta_	miejscownikkierunkowysprawa
