hnit	வினையெச்சம்
hyip	சுயபரிசோதனைஅம்சம்
hlit	volitiveமனநிலை
pcic	வேண்டும்
tyut	இரண்டு
hsat	பார்க்க
hkut	தெரியும்
hcic	கீழே
hcap	பின்னர்
hpam	முதல்
hlac	உடைமைமாற்றத்உடைமை
hkap	ஒருபோதும்
hnic	மாற்றமுடியாதஉடைமை
tyat	பழைய
tcit	deliberativeமனநிலை
tcin	நாள்
hlam	வந்து
hwak	உயிர்
hkin	சென்று
lwak	perlativeவழக்கு
hpip	முற்போக்கானஅம்சம்
lyan	நீண்ட
hsac	சொல்ல
kyan	எப்படி
htas	மீண்டும்
hsic	இங்கே
hcik	என்று
hcak	கீழ்சூழல்
hfan	கண்டறியப்பட்டது
hsun	கை
hyac	மேலும்
nwan	இளம்
tyit	எதிராக
tlan	கடவுள்
twak	delativeவழக்கு
hmin	எதுவும்
hyas	முறை
hlap	semelfactiveஅம்சம்
kcac	விட்டு
hyic	எண்ணினர்
hcas	வீட்டில்
hwac	உலக
tyin	மூன்று
hnun	நவ
hcuk	கவனம்
pyan	அன்பு
hsis	எப்போதும்
hyam	இரவு
hyap	ராஜா
hkic	இடையே
hmas	மனதில்
cyit	இதயம்
pluc	paucalஎண்
kyik	ஏனெனில்
ksak	காரணவழக்கு
tcun	செய்து
hnim	பெயர்
tsan	முறையானபெயர்ச்சொல்
klac	நாடு
hpun	கேட்டார்
cyat	தெரியும்சான்றுத்
pcac	சிறந்த
hmac	கணம்
hnas	முடியாது
hwic	நீர்
twim	desiderativeமனநிலை
kwan	ஒளி
tlat	சொல்
tyan	கதவை
hsas	காலை
syat	வரை
twik	terminativeவழக்கு
hpit	வெள்ளை
pcan	பணம்
hyis	ஏழை
mwan	மரணம்
hfam	வடிவம்
nwik	inessiveவழக்கு
kcat	ஒன்றாக
tsac	அடிக்கடி
pyat	நண்பன்
psan	அரை
hpim	கட்டாயம்மனநிலை
hyuc	சுற்று
hfat	அனுப்பிய
hcis	மனைவி
kcan	நம்பிக்கை
hsik	பொது
htus	நிலைசூழல்
hpas	மகன்
clat	குழந்தைகள்
tyak	இதனால்
cwan	நம்புகிறேன்
syin	அன்பே
hkuc	உயர்
tyac	படிக்க
syit	நகரம்
hlic	ஏற்கனவே
hfit	factiveசான்றுத்
tcac	பெண்
hcun	கேட்கிற
ksan	குறைந்தது
hyaf	ஒருவேளை
kyat	உண்மையில்
tcic	உடல்
hwit	திரும்பிவருதல்
cwat	விமான
hfaf	சட்டம்
hput	உதவி
lyat	கடிதம்
ksas	நான்கு
hpic	optativeமனநிலை
hfuk	தீ
hcam	மணி
twat	போர்
kyak	பல
tlit	இரண்டாவது
pcin	பின்னால்
hmut	இழந்தது
clan	ஆயிரம்
hfac	குடும்ப
twan	ஆன்மா
hwas	கேள்வி
syan	உண்மை
htis	தயாரித்தல்
tsat	சாத்தியமானமனநிலை
lwik	allativeவழக்கு
nyin	மனிதப்பண்புகள்பாலினம்
hfak	ஐந்து
tcak	அதேபொருள்மார்க்கர்
htuc	வெவ்வேறுபொருள்
hnap	பதில்
hmit	கடல்
hcuc	அச்சம்
pcat	புரிந்து
syas	அடிப்படையில்
hcaf	சந்தேகம்
twut	dubitativeமனநிலை
hkis	கருப்பு
tlak	கொண்டு
hyus	அழகான
nyit	வகையான
htip	பத்து
ksis	கதை
hpuk	புத்தகம்
hlin	மின்னணு
hkun	கணக்கு
lyas	ஆர்வம்
lyit	எழுத
pwat	படுக்கையில்
hnis	வயது
hnut	மாற்றாலநிபந்தனை
slas	கலை
hwis	vialisவழக்கு
pyak	சகோதரர்
lyin	வரி
tyas	அட்டவணை
hyun	நதி
kyac	கண்
tfan	திடீரென்று
kcin	ஆழமான
hmuc	நோக்கம்
cyac	இரத்த
hmap	உயர்ந்தது
tlin	குளிர்
hyif	முன்னோக்கி
tyam	தாமதமாக
hnaf	நினைக்கிறேன்
hkip	கிட்டத்தட்ட
myan	என்னுடைய
tsin	அறிவு
hkup	நகல்
hsam	கணவர்
hlis	ஆறு
cwit	வாழ்க்கை
cyan	சமாதானம்
myat	நினைவில்
tyic	இயற்கை
hfut	விழ
swas	சேவை
hsap	தவிர
pcit	பதிப்புரிமை
hyim	இராணுவம்
kyas	குதிரை
plic	எதிர்காலத்தில்
pcak	மேற்கு
hpis	செலுத்த
hyuk	சிவப்பு
hwun	தங்கம்
twin	ஆசை
plan	விளையாட
hpus	அலுவலக
syun	அரசு
kyic	தேவாலயத்தில்
htaf	வலிமை
hlun	நீளம்
kyin	நிறுவனம்
kyis	காகித
mlan	நிகழ்தகவு
hcim	குறிப்பாக
cyas	தாங்க
twac	சாளரத்தில்
nyat	அழகு
hcus	பிந்தைய
htup	கடமை
htif	தொலைவில்
pyas	கால்
hlas	காட்டு
ksin	பச்சை
hmaf	பிரச்சனையில்
myac	புன்னகை
hsim	தூங்கு
kyit	மேற்கோள்
kwik	quotativeவழக்கு
fwan	விஜயம்
slan	பின்பற்றவும்
psit	முன்னிலையில்
hmic	இனிப்பு
hmuf	வாய்
hfin	பணக்கார
tcam	எதிரி
psuk	உடைந்த
kcap	கப்பல்
pwan	உள்ளடக்கியநபர்
hfic	செல்வாக்கு
tcuc	தோன்றும்
hkim	இரகசிய
pyin	தயவுசெய்து
pwit	precativeமனநிலை
pyit	கண்ணியமாகபதிவு
cwak	தீய
myak	மார்ச்
tcas	இடங்கள்
hlaf	தங்க
psat	அதற்குபதிலாக
nlan	நீல
psac	சாத்தியமற்றது
kcuk	பள்ளி
kcit	திருமணம்
kcak	உணவு
syis	இருபது
tlac	அமைதியான
hcip	வருங்காலஅம்சம்
kwin	கொடுத்து
tsit	நிறுத்தி
pyac	மொழி
hsus	வாரம்
hcup	மண்டபம்
cyap	தெரியவில்லை
tfin	பிறப்பு
fyat	நீதிமன்றம்
hnip	gnomicஅம்சம்
tsak	மரியாதை
tlas	மதிப்பு
syuc	மரம்
plat	சுவர்
cyak	சொர்கம்
twip	inchoativeஅம்சம்
mlat	கட்டளை
swit	jussiveமனநிலை
mwas	மாதம்
hwaf	சரியான
tyap	அனுபவம்
ksac	சூழ்நிலை
syac	புதிய
hnuk	பிரபு
kwak	மூடப்பட்ட
tyuk	கிழக்கு
pwac	கல்
hkif	உன்னத
nyac	திசையில்
cyis	நாற்காலியில்
tyuc	காத்திருக்கும்
tsun	கிராமத்தில்
tyik	ஏற்கிறேன்
hnum	அனுமதியளிக்கும்மனநிலை
slak	வெற்றி
tsic	முயற்சி
slat	மலை
hmik	இசை
hkus	அழுகை
hsip	ஏழு
hpaf	தனியார்
nwas	செய்தி
tfac	காட்சி
fyan	தோட்டத்தில்
cwas	தொடங்கும்
hfik	பங்கீட்டுவழக்கு
lyac	அறிய
syik	அரசியல்
clin	ஹென்றி
cyin	பொய்
tsas	நடித்தார்
cyik	அதிகாரம்
tlap	தரை
cyam	கோடை
tcut	மதம்
tcap	தப்பிக்கும்
hlut	ஆசிரியர்
pyun	பழுப்பு
tcuk	வலி
swan	வசந்த
hmun	மென்மையான
kyun	மூலையில்
nyak	முத்திரை
tsis	நீதி
psas	உற்பத்தி
cyaf	சிரிப்பு
hwut	மறக்க
hyup	ஐரோப்பா
hwap	எட்டு
psak	கடந்துசென்ற
kyap	பயங்கரமான
pyic	தேவையான
hmim	நடுத்தர
hsaf	மூச்சு
hmis	பாண்டித்தியம்
hsum	சொந்தம்மார்க்கர்
ksat	இனிமையான
ksit	கல்லறை
tsap	தீவின்
kyam	முகாமில்
tcum	தொட
cyun	அதிர்ஷ்டம்
psic	கரையில்
tyun	டொமைன்
mwit	commissiveமனநிலை
tlut	பட்டம்
myit	குளிர்காலத்தில்
kfan	நடத்தை
slac	இயங்கும்
myin	நிமிடம்
tyip	வழிவகுக்கும்
klas	கண்ணாடி
pfat	குழு
cyic	வீண்
swam	விவகாரங்களில்
syam	பாதுகாப்பான
tsut	மருத்துவர்
hlip	முழுமையாக்கும்அம்சம்
kcas	இருள்
nyun	சூடான
hpuc	பானம்
tlam	உதாரணமாக
hfun	கோபம்
tsik	இருந்தபோதும்
tsam	நேரடியாக
hmup	தொப்பி
klak	நாய்
slin	வெள்ளி
swac	வேலைக்காரன்
kcam	பெருமை
pyik	ரயில்
myut	தார்மீக
syak	உள்ளிடவும்
swat	வாள்
kyuk	தாக்குதல்
clac	சுகாதார
tyaf	பத்தி
swic	சமூக
tfit	பணத்தைதிரும்ப
hkaf	அதிகாரி
pcas	பார்வையில்
nyam	மகிமை
tfat	பன்னிரண்டு
pcut	ஈடுபட்டுள்ள
pwin	மது
mwat	சுவை
fyac	இரும்பு
syap	விநியோகிக்க
myap	வர்த்தக
hyum	பயன்படுத்தி
fwak	நீதிபதி
klat	கேப்டன்
twap	நிறுத்துதல்அம்சம்
kcic	ஆர்வமாக
kwic	வெளிநாட்டு
hnif	தீவிரப்படுத்தி
myun	முக்கியத்துவம்
tlic	இறுதியாக
cyuk	கழுத்து
syut	சுதந்திரம்
pfan	பக்கங்களிலும்
kyuc	உலர்
pcap	ஒதுக்கி
tfak	சான்றுத்
tcik	சான்றுத்வழக்கு
twun	தொலைதூர
tyis	முன்னேற்றம்
nyap	குறுகிய
plit	கட்டிடம்
hpif	பக்கம்
pwic	வைத்திருக்கும்
syic	வருத்தம்
tsip	பாவம்
syim	உடம்பு
tcis	நேர்மையான
pcun	வங்கி
ksap	ஏற்க
lyam	ஸ்ட்ரீம்
tcaf	கவனமாக
kwac	காது
hpup	ரொட்டி
kcut	தேர்வு
nwam	விலங்கு
hsup	zoicபாலினம்
nwit	eventiveமனநிலை
tcim	அதேநிகழ்வுமார்க்கர்
tlik	பெருக்கல்வழக்கு
kyus	கடந்து
hmus	தடித்த
kfat	தைரியம்
nwat	வளர
myic	மழை
hpum	மேற்பரப்பு
swut	புனித
clis	ஜூலை
mwun	ஃபேஷன்
hfas	கோப்பு
cwac	தோள்பட்டை
kwat	ஆறுதல்
nwac	யாரையும்
tcip	விரும்பிய
kfac	புல்
hmuk	வரைய
plin	திறப்பு
kwun	ஜூன்
mlik	மீன்
klin	தலைநகர்
pfut	மார்பக
twam	கூற்று
fyin	இழப்பில்
nlit	உன்
mlin	மில்லியன்
pyut	பிரார்த்தனை
hluk	சோர்வாக
ksut	கொலை
cyut	நிழல்
psin	எடை
kcis	சாம்பல்
pyam	துணிச்சலான
mwac	திருப்தி
klam	சொல்லி
ksam	தேசிய
hfip	பலவீனமான
klik	பள்ளத்தாக்கில்
hkum	ஊகமனநிலை
clas	மஞ்சள்
cyuc	வெப்பம்
mlac	எஞ்சியுள்ள
syip	சமமாக
pwak	பெட்டியில்
tcif	கூரான
psip	கொள்கை
ksik	விளைவு
tsim	சீசன்
flan	அறிவியல்
pcam	வெளிப்படையாக
kcun	துளை
ksuk	மாமா
mlit	பட்டியலில்
pcik	ஆபத்தான
kwas	ஆகஸ்ட்
hluc	பிரபலமான
klit	அறியப்படாத
flak	தெரிந்திருந்தால்
fyit	தெரிந்திருந்தால்பதிவு
lwat	வாசகர்
plun	நடைபயிற்சி
twas	இருமுறை
pcis	பூசாரி
fyas	காயமடைந்த
nlat	அரண்மனை
myuk	முட்டாளாக்க
pfak	சாதகமாக
tcuf	ஒன்பது
cwap	அனுதாபம்
plac	வெடிப்பு
pyap	வைத்து
lyic	உடையணிந்து
hcum	சத்தம்
lwit	இலக்கியம்
tsuk	சாதனை
hfup	புயல்
kcik	பாக்கெட்
nwap	நவம்பர்
tyim	டிசம்பர்
psaf	இல்லாத
nlac	மக்கள்தொகை
kyaf	நன்றி
slis	தொடர்
pyaf	பறவை
mlak	உரிமையாளர்
kwut	கோட்
hwuc	உறவுகள்
pyis	விரைவில்
twuc	புகை
nwak	ஜனவரி
mlic	இயந்திரம்
tlis	பற்கள்
ksun	எரியும்
clam	அவமானம்
klaf	தரமான
clit	மோதிரம்
fyak	சொற்றொடர்
fyam	சொற்றொடர்மார்க்கர்
kwap	சதுர
hwip	ஞாயிறு
psis	கவிதை
pwut	முன்கூட்டியே
kyim	வாங்க
clic	துறைகள்
pyip	ஏப்ரல்
kfap	அக்டோபர்
psut	பொருட்களை
kcuc	கசப்பான
nlap	அடிமை
hsok	தளர்வான
htet	உரை
hbat	மோசமான
hrit	கடன்
hzit	அம்சங்கள்
hpet	பதினைந்து
krac	கொடுமையான
hduc	தூசி
hrik	நடைமுறை
hron	வண்ண
hnus	மூக்கு
hric	நட்பு
srik	வழங்கல்
hten	நேற்று
tlet	நேற்றையபதட்டமான
slap	தோல்வி
hban	அணிய
hdat	குருட்டு
fran	ஈ
hdan	பிசாசு
htec	படிப்படியாக
hmon	பணி
cran	தியாகம்
hran	மனசாட்சி
hmos	அமைச்சர்
nrit	ஆற்றல்
hcet	வெறுக்கிறேன்
hset	சென்டர்
hrin	பகுத்தறிவுபாலினம்
hcot	அனுபவிக்க
hrip	சுருக்கமான
htep	வழிபாடு
hcif	தோல்
hrat	கூரை
kran	கிரீடம்
hkon	கோட்டை
tran	விரக்தியிலும்
hmif	மைல்
trin	வட்டம்
hgin	சிறையில்
hkop	கப்
hcen	உறுப்பினர்
swin	சிவில்
hrac	எல்லாஇடங்களிலும்
hris	விருப்ப
hbin	வருகிறது
hmot	இறைச்சி
hdut	பால்
hwen	காய்கறிக்பாலினம்
nran	அரிய
hbac	உறவினர்
crut	பாலம்
hsoc	பங்கு
hsom	உப்பு
nris	அப்பாவி
hbit	தவிர்க்க
crin	புகழையும்
rwin	ராணி
hgut	எண்ண
hdas	நடனம்
hnot	விடுதி
hdin	நிரப்ப
hton	கைதி
hdak	கடை
hlet	மாடிப்படி
hson	மன்னிப்பு
hgek	கே
hras	மணல்
hsep	செப்டம்பர்
hbic	அழிவை
hlen	உரிமம்
hcon	போதுமானஅளவு
hgit	சாட்சி
kfon	சமையலறை
hbak	விற்க
tlim	சிகிச்சை
hsot	வேகம்
kyut	கணினி
hnen	நித்திய
htek	நூலகம்
hzan	கொண்ட
hbis	அடித்தளம்
hbun	குழப்பம்
kcus	சமையல்காரர்
hgat	பாலைவனத்தில்
hwus	முத்தம்
hbif	பனி
hbot	பந்து
hrut	வாதம்
hdit	ஆசியும்மனநிலை
hdis	குற்றவாளி
hjan	தண்டனை
plis	காவல்
hgan	மறைக்க
hsen	பயணம்
nrin	அறியாமை
hyen	மேகம்
frif	பிப்ரவரி
hdik	நோய்
hnek	முயற்சிவழக்கு
hbam	அத்தை
hmen	தாழ்மையான
hdip	தாமதமாககட்டாயம்
prat	தகவல்சான்றுத்
hdet	நள்ளிரவு
hjit	விரல்
hmoc	எங்காவது
pran	பத்திரிகை
kcec	பிராந்தியம்
hken	சமீபத்தில்
hloc	துக்கம்
hrak	ஊழியர்கள்
htes	எல்லையைக்
rwan	வெகுமதி
hdon	தானம்
htot	நெற்றியில்
hnet	தேவதை
hdun	ஒருமை
croc	பிழை
hlon	விடியல்
hyec	ஆடுகள்
hjin	பொறுமை
hrec	குறிப்புடன்
mran	சோளம்
htos	பெரும்பான்மை
hcos	நடவடிக்கைகளை
hkoc	எப்போதாவது
hlif	இலாப
clak	சர்க்கரை
hjat	மனித
tram	சட்ட
hdic	வட்டு
hkok	தனியாக
srat	கலைஞர்
crak	அழகை
hmet	மின்னஞ்சல்
hden	முடிவு
gran	கவர்னர்
crac	கிளை
hjac	உற்சாகம்
hdim	ஒப்பீட்டுமனநிலை
hcok	அவசரம்
hyet	எண்ணெய்
pwap	குழாய்
trat	அச்சு
tcot	திடவிஷயம்
hdoc	ஓ
hren	சொற்பொழிவுசூழல்
tcon	நண்பகல்
krin	அறைக்கு
plam	அலாரம்
hnes	பதட்டமாக
tcen	கவனிப்பு
hsek	அம்சம்
plik	பொருந்தும்
slik	பட்டு
hfen	சதவீதம்
hgen	முகவர்
hnon	தொழிற்சங்க
crik	நரகத்தில்
tcet	குறைபாடுள்ள
mrat	கலப்பு
hdam	இந்தஅறிவுரையைமனநிலை
hgac	லட்சியம்
htoc	எப்படியோ
hdac	ஆலோசனை
nwin	அரசியலமைப்பு
srit	கருவி
hret	உறுதியாக
nlin	ஆன்லைன்
hzat	அலை
klic	கல்லூரி
hkek	வால்
nric	தலைமுறை
hgic	நெரிசலான
hgak	பூனை
trit	நேரடிசான்றுத்
tyot	ஒப்பந்தம்
hnok	உள்ளடக்கங்களை
crit	கைவிடப்பட்ட
slen	பதினொரு
srin	உள்ளுணர்வு
hpok	பழங்குடி
hyot	பயம்மனநிலை
cric	தங்குமிடம்
hruc	முரட்டுத்தனமாக
cwin	சவாரி
hzak	குலுக்கல்
dyit	தொழில்
hpec	தொழிலை
nras	செவிலியர்
hcec	கற்பித்தல்
hbut	காலணிகள்
hmec	தெளிவற்ற
twot	செயல்பாடு
crat	சனிக்கிழமை
hkot	திறன்
hnec	சூரியஒளி
hwuf	விதவை
cren	சிந்த
nrat	நட்சத்திர
hget	விருந்தினர்
hbik	ஆசீர்வதிப்பார்
brin	உள்
hpot	கிடைக்கும்
trac	எதிர்ப்பு
prac	வருவிக்க
hcoc	வெற்று
hpon	மாகாணத்தில்
hwim	நாகரிகம்
dwan	செயலிழப்பு
cwok	அதிர்ச்சி
hdok	ஓட்டுநர்
crun	புதையல்
hzik	விதை
hrot	அண்மையில்கடந்தபதட்டமான
hket	விழித்து
hcek	தளபாடங்கள்
hrop	கயிறு
mrac	சாகச
byit	விருந்து
trak	ஆண்டு
hzin	தெற்கு
sric	விழா
clik	வேட்டை
trap	தாராளவாத
hrim	கிறித்துவம்
hrus	இளவரசி
blat	பலிபீடத்தின்
cyon	சிறிய
hwep	வலை
krat	கார்டினல்
tris	ஊதா
kcot	சேகரிக்க
hben	தேர்தல்
trik	குடித்துவிட்டு
kfit	லிப்ட்
tcec	பரிமாற்றம்
nrik	திட்டவட்டமானகட்டுரை
grat	பேரரசர்
dran	நிர்வாகம்
hpen	முன்பு
cluk	அசிங்கமான
nrac	பாதிப்பில்லாத
ryin	பயிற்சி
hrun	ரோல்
nwic	அங்குல
slit	சுட
gzat	செய்தித்தாள்
krot	வெட்டு
drit	தாடி
hzis	கிழிக்க
hdap	பதினெட்டு
sris	வரலாற்று
mrut	மொத்த
nyik	மண்
bran	மணமகள்
drat	சார்ந்திருக்கிறது
djan	மாபெரும்
glat	எளிமை
hpoc	இலையுதிர்
pras	முக்காடு
hgot	சேகரிப்பது
tret	தியேட்டர்
tras	ஒப்பீடு
rwit	போட்டி
hfon	உருவாக்கும்
klot	பயிற்சியாளர்
hmum	நகைச்சுவை
drac	சொற்பொழிவு
rwas	நாவல்
tset	பழிவாங்கும்
hdot	சேய்மைவெளிப்படுத்துகிறது
ryut	பொறாமை
hwon	அழைப்பை
byat	எரிந்த
flac	ஃபிளாஷ்
prot	உருவப்படம்
crek	பரிந்துரைக்கிறது
htok	மோதல்
htop	சாபம்
prit	imprecatoryமனநிலை
hces	ஆதரவற்ற
klup	கிளப்
hnos	வெள்ள
dwin	அலட்சியம்,
prin	அடிவானத்தில்
mrit	assumptiveமனநிலை
tcoc	செங்குத்தான
hcom	நல்லிணக்கம்
grit	இடி
tlot	குழந்தைபருவத்தில்
hgik	முழங்கால்
hwes	மயக்கத்தில்
hzac	பரஸ்பர
hsec	மென்பொருள்
tson	நிறுவனங்கள்
ryit	ரசீது
dlin	ஒழுக்கம்
slip	சீட்டு
klon	புரட்சி
hfim	விவசாயி
hpom	மேடையில்
cyen	மாணவர்
hgec	குகை
hroc	பாரம்பரியம்
srac	சமர்ப்பிக்க
ryat	சோகம்
kcen	கன்னி
hbap	பிரியாவிடை
krik	திறனாய்வு
krap	பருத்தி
fwat	மருத்துவமனையில்
kcet	வாடகைக்கு
hgas	எரிவாயு
pfin	தவிர்க்கமுடியாத
dlit	இலை
ryan	மொழிபெயர்ப்பு
sran	இறுதிசடங்கு
mrin	மாவு
hram	காதல்
dlan	டாலர்
hzas	வேடிக்கைப்
hsos	பதினாறு
klen	காலனி
gyin	சாரி
hsif	சிங்கம்
cluc	தந்திரமான
prip	தயாரிப்பு
hzut	மூடுபனி
dwat	மருத்துவம்
krit	பிழைதிருத்தம்
sras	கூடு
hses	பதினான்கு
brat	ஆட்சேபனை
flat	அமிலம்
hjic	அதாவது
slic	ஆயுதம்
hbuc	பயனர்
tron	ஆரஞ்சு
byan	குளியல்
hrif	பழமையான
tlip	நிறுவ
blan	கூடை
kris	செயலாளர்
hyon	இதற்கிடையில்
tren	இன்று
dlat	hodiernalபதட்டமான
hzic	விஷம்
tfic	துப்பாக்கி
tlen	திறமை
hlim	காலநிலை
dyat	துணையை
kcon	வெளிப்பாடு
dlac	கழுவும்
krak	வாக்குமூலம்
hbas	முட்டாள்தனத்தை
hkec	நிலக்கரி
hrek	மீட்க
hkos	கேனோ
hwif	துணை
tric	தற்காலிக
hdep	delimitativeஅம்சம்
mwak	குவியல்
ksot	எலும்பு
hnoc	திங்கள்
nlas	செவ்வாய்க்கிழமை
brac	புதன்கிழமை
frap	மத்திய
pfit	பிரதிநிதி
pcoc	துருவ
lyen	கைத்தறி
swak	மடு
pcen	தலைவர்
brit	இரத்தம்தோய்ந்த
hwec	முற்றுகை
hwet	வயிறு
hlos	மாடிக்கு
hbon	பல்வேறு
pcon	பித்தளை
hsem	உச்சிமாநாடு
lwac	மலிவான
tsos	போட்டியில்
kwen	பிரத்தியேகநபர்
trun	இறங்கும்
trut	சிலை
hrap	பீரங்கி
hgap	கைது
trot	வெப்பநிலை
grin	அக்கம்
hjak	தழுவி
hpek	பேக்
hlus	மான்
hwos	படுக்கையறை
tsuc	புஷ்
pcuc	வெளியேற்ற
cris	வாரிசு
clun	ஓக்
hpes	விரும்பத்தகாத
nlet	முழுமையற்ற
hrom	திட்டம்
pyon	பியானோ
swet	சம்மதிக்க
dric	கண்ணுக்குதெரியாத
tyen	நன்குஅறியப்பட்ட
hruk	கொடுமை
frat	ஒதுக்கப்படும்
hyoc	சலனமும்
hlep	telicஅம்சம்
nrot	சர்வதேச
nret	வன்முறையில்
hfif	தத்துவஞானி
pfic	பிரதிநிதித்துவம்
hmek	முக்கிய
hfec	நலன்புரி
myik	மீன்பிடி
truc	திருட
tcop	லிப்
rwic	ஓய்வு
htom	பொருளாதாரம்
glan	கேலரி
pren	இணை
hlek	atelicஅம்சம்
nrak	கண்டம்
truk	தட்டுங்கள்
hjim	தடைமனநிலை
rwat	டை
hcep	செல்
dyan	முட்டை
jrat	செயற்கை
nren	உத்வேகம்
ksic	நெருக்கடி
tsoc	தேடி
lwan	மதியஉணவு
hpos	பைன்
hcuf	மிகுதி
tcus	சூ
pset	நீட்டிக்க
hkep	செப்பு
swis	கடலோடி
prim	ஏகாதிபத்திய
trip	சவுக்கை
cras	சட்டை
swap	ஸ்வீப்
syet	ஓவியத்தை
htof	திருடன்
clen	சேனல்
kwit	ஆளுமை
klok	அதிகமாக
hrok	சீர்திருத்தம்
hguc	தாகம்
kcim	அச்சுறுத்தும்
hpem	பனை
psik	பேச்சாளர்
frit	வாசலில்
cret	தடயங்கள்
mrak	ஈட்டி
syen	அமர்வு
tcup	ஈரமான
hyek	பயணி
trim	தகரம்
plak	புகார்
hyok	கோணம்
hgam	மாடு
hmok	ஆலை
jrac	வரைபடம்
kloc	காலர்
gyit	வேண்டுமென்றே
hbip	பீர்
mlet	வெல்வெட்
lyap	தவறாக
cwen	மந்தையை
bwan	மருமகள்
tses	பதின்மூன்று
jrit	நியாயப்படுத்த
nlak	கையெழுத்துப்பிரதி
sron	போர்வீரன்
cruc	வெள்ளி
broc	தூரிகை
dlot	பதிவிறக்க
krim	கிரீம்
pric	சுருதி
prut	ஜூரி
hgon	உறைந்த
sram	இலக்கியரீதியாக
pfot	பானை
hlot	திட்டமிட்ட
djin	நாணயம்
hlok	பாய்ச்சல்
hpep	ஆப்பிள்
hwot	முறுக்கப்பட்ட
dlak	விவாதிக்க
brik	பதிவு
nlis	படியாக்கம்
hbet	பந்தயம்
pris	வைரஸ்
hjik	விருந்தோம்பல்
blit	குழந்தைத்தனமாக
hjap	அங்கி
tfik	பிரதிபலிக்கும்
hdaf	அடைய
hpop	ஓபரா
kcaf	மறைத்து
kcoc	முழங்கை
hrum	பழுது
cyim	சந்தேகத்திற்கிடமான
dyic	கல்வி
hgoc	குழி
drak	கோளாறு
plas	கைத்தட்டல்
byin	பைனரி
hzap	அபே
nlot	விசுவாசத்தை
mrik	இயந்திர
hsop	வெற்றிகரமாக
crap	பொறி
kyek	கேக்
nrut	மகிழ்விக்க
syes	ஐயா
hjet	பதினேழு
hjen	பெண்மையை
hmom	தேன்
hdec	எதிர்பாராதவிதமாக
lwen	செவி
slot	அடுப்பு
frac	கிளர்ச்சி
gwan	வடிகிறது
mruk	மேம்படுத்த
swot	சதுப்பு
zlan	சம்பாதிக்க
hnem	அனிமேஷன்
hdes	டிரஸ்ஸிங்
prak	பிரசங்கிப்பார்
frin	காட்சியமைப்பு
hfet	எதிர்க்கிறது
cros	கோரஸ்
ryon	பகுத்தறிவு
tcos	பயிர்
tsen	செயலாக்க
hwek	ஓநாய்
nlik	மறுப்பது
klap	கம்பள
dras	தூற்றும்
prop	வளமான
slim	விசில்
hgis	சீஸ்
krut	கடிக்க
srot	துணை
bjan	அலைய
nwen	கடற்படை
myas	மூடிமறைக்கும்
kwaf	அபிவிருத்தி
twis	வண்டி
pcip	பென்சில்
